"","ave_df$OBJECTID","slope_MEAN","aspect_MEAN","DEM_MEAN","LiveBio_SUM","DeadBio_SUM","TreeDens","fireduration","GIS_ACRES","month_temp","week_temp","month_precip","week_precip","wind_speed","wind_max","month_humid","week_humid","conifer","shrub","herbaceous","barren_other","urban","hardwood","water","agricultural","ave_dbr"
"26",20491,14.2484018431747,208.828579294195,2108.29619458402,1506207812.80173,226399594.845016,587.200392109662,777600,1747.86950683594,68.8709677419355,74,0.06,0.03,3.37777777777778,18.5,44.258064516129,31.125,6238800,529200,46800,227700,0,0,18900,0,30.7991480642489
"27",20184,18.9265175765167,160.602057053649,1072.22608566599,50432799.9179077,0,311.990355449112,43200,469.355926513672,69,75.25,0.62,0,9.7,32,43.8064516129032,33.375,277200,902700,258300,0,0,470700,0,0,272.011368508823
"28",20617,5.16908323090108,226.692601060607,1270.72140743108,265712.232177734,0,1.34759088639185,259200,653.507934570312,63.5,71.625,1.21,0,6.475,19.25,47.448275862069,31.4285714285714,13500,1672200,869400,0,40500,0,0,46800,117.608358819993
"29",20581,26.5010035056119,208.630271148428,756.576726764416,26308761.7548828,0,54.2332101824441,950400,669.208679199219,65.9,74.5,0.02,0,11.0416666666667,24.5833333333333,34.1333333333333,20.875,0,2635200,12600,0,13500,46800,0,0,273.976341148897
"30",20499,29.4614512012487,162.092070869145,1495.73868669203,1407525891.66048,15596210.9864352,520.154957553303,7084800,1643.64331054688,74.9310344827586,74.875,0.01,0.01,4.63253012048193,16.5903614457831,44.448275862069,49.125,6139800,501300,0,5400,0,0,0,0,303.390164360822
"31",20381,21.6742729221363,123.171743646988,288.176228091274,3965344.08203125,0,11.3525093431931,43200,449.778076171875,61.7586206896552,60.4285714285714,0.04,0.01,3.3,18,50.6333333333333,46.5,0,0,1818000,0,0,0,0,0,378.516543521719
"32",20273,11.1313858629539,172.285489571881,666.244979250242,227731954.915924,2096801.31186867,685.481997891561,604800,392.485229492188,80.8064516129032,83.625,0.02,0,3.35,15.375,41.0967741935484,29.75,282600,231300,17100,0,0,1056600,900,0,652.20760560075
"33",20504,21.7150971061584,249.234118946407,427.024912618786,432123145.193787,0,1200.77846785888,864000,318.872985839844,76.258064516129,74.5,0,0,2.95454545454545,20.4545454545455,50.1290322580645,50.25,1287000,1800,900,0,0,0,0,0,187.877795207996
"34",20654,18.8050195386701,211.973730850309,1022.62467432229,14696179.2004395,0,24.3006392458211,691200,336.623809814453,79.4516129032258,79.25,0.04,0.03,4.06666666666667,18.1111111111111,44.4838709677419,49.75,0,1247400,33300,0,23400,38700,0,19800,382.58914019884
"35",20492,17.0772526137768,189.586901903539,2338.41197329325,235195701.470215,0,580.20028951679,11750400,310.771179199219,67.6666666666667,67.6666666666667,0,0,3.42761194029851,15.2262773722628,49.6666666666667,49.6666666666667,1016100,73800,22500,144000,0,0,0,0,-390.563673490119
"36",20477,18.9612322850421,151.677139539288,409.506568096661,46609410.0512695,0,140.246934172166,259200,1561.6630859375,68.9032258064516,73.25,0,0,7.125,21.5,38.4838709677419,26.125,0,1972800,3836700,0,0,505800,0,0,337.41761978485
"37",20215,6.02040475997638,185.429492415886,143.855162084472,25987234.8964844,0,66.8496396335188,432000,429.704162597656,66.9354838709677,66.625,0.25,0,7.93333333333333,21.5,67.741935483871,45.875,0,714600,306000,30600,27000,657000,0,0,450.355718319948
"38",20460,2.56627405145842,210.983262717464,120.113803715518,14419.6787109375,0,0.008016551031429,43200,482.3408203125,82.0645161290323,74.25,0,0,8.5,21,39.5806451612903,47.75,0,0,1948500,0,0,0,0,0,401.732388506248
"39",20461,28.8727656581406,207.398136314548,281.932653773968,22332305.9505615,0,41.4095075131893,86400,371.3076171875,65.741935483871,62.625,0,0,10.6,40,43.741935483871,33.875,0,1222200,0,0,261000,21600,0,0,284.571725290251
"40",20573,13.5169873778687,154.745275132166,792.299824251592,6668645.06787109,0,4.42394804457696,1123200,866.273010253906,71.5333333333333,72.1428571428571,0.04,0.03,5.36153846153846,17.7857142857143,34.1333333333333,36.5714285714286,0,3384900,0,0,0,125100,0,0,371.612431025269
"41",20301,19.190032855323,210.835279774835,1223.14631270651,336272513.958069,132610909.976894,1019.78222809398,864000,988.467468261719,80.4838709677419,86,0,0,2.27272727272727,13.3636363636364,40.0967741935484,31.5,1478700,286200,42300,57600,0,2135700,0,0,433.308567478458
"42",20534,9.27646255492388,147.674720530365,1499.06460981726,1527740.93359375,0,2.06884575932675,518400,855.244384765625,77.6774193548387,80.25,0.74,0.01,5.51428571428571,24.2857142857143,30.1290322580645,32.75,5400,3244500,87300,127800,0,0,0,0,230.769566142994
"43",20332,11.1794808251514,217.406223845917,159.877243575651,59186951.7419434,0,62.3507734792096,1987200,791.888122558594,67.0967741935484,66.875,0.06,0,3.99166666666667,19.8333333333333,51.8387096774194,33.125,0,6300,2543400,0,2700,639000,17100,0,-120.035202689091
"44",20637,26.7826500371391,194.166831123395,432.812135387059,359911252.44574,0,617.036444042678,777600,317.200988769531,63,63.375,0,0,2.95,15.5,37.9032258064516,24,1260900,21600,0,0,0,0,0,0,177.983432684914
"45",20123,16.8559071633322,193.15028710815,246.551796977227,3327647.47607422,0,20.6109437196084,172800,415.211639404297,87.1290322580645,86.5,0,0,3.13333333333333,14.3333333333333,30.2903225806452,28.5,0,0,1095300,0,0,0,0,593100,299.053686609373
"46",20278,5.2152098482329,168.944930355644,145.066189959639,2870540.14648438,0,2.24029666445061,172800,867.019592285156,80.3870967741936,76.75,0.02,0,2.7,13.6666666666667,41.7741935483871,50.625,0,0,3506400,0,0,0,0,0,485.93145221175
"47",20293,14.0107604749137,182.593603058337,306.99254019601,6549859.85351562,0,2.1400563628257,259200,1912.90563964844,58.4838709677419,54.25,2.57,0.07,8.65,21.25,61.1612903225806,71.25,0,3649500,4059000,0,0,27900,0,0,410.056389192606
"48",20620,21.2302350316825,140.702145147432,2602.17162292122,51600202.0897217,9462.31762695312,778.434991994776,259200,394.816802978516,64.5666666666667,63.875,0.06,0.02,1.2,17.5,43.5666666666667,49,33300,1510200,0,0,0,51300,0,0,250.163654058351
"49",20712,13.2857414135401,122.599929991484,100.312017527834,23907191.4868164,0,46.0300829687504,172800,702.306640625,64.4193548387097,68.125,0.03,0,7.4,21.3333333333333,80.0645161290323,75.75,0,2374200,373500,0,0,104400,0,0,415.411258138766
"50",20709,20.6025082720725,151.979439511525,1636.47862876361,456230854.983604,0,609.399156004783,9417600,492.599670410156,73.7741935483871,74.25,0.41,0.41,8.13644859813084,26.0727272727273,36.4516129032258,35.25,1708200,262800,0,4500,0,0,18900,0,225.056702903254
"51",20704,26.8263779650479,194.178873514812,523.44823601139,414289055.707275,0,42.8489226264081,604800,7051.35107421875,75.0769230769231,85.1666666666667,0,0,4.5,18.625,58.0769230769231,41.3333333333333,0,25585200,258300,573300,1598400,507600,0,0,410.81303740681
"52",20708,26.666046669064,177.902513807461,1214.23923300014,30625739635.9889,53509134.8668565,1109.93812286924,13219200,32893.26171875,73.7096774193548,75.625,0.41,0.41,9.12040816326531,26.6993464052288,36.5161290322581,33,105480900,9261900,198900,80100,9900,6003000,17100,0,282.834277582266
"53",20290,8.26829782371104,203.784316694816,96.2386926185113,80788783.3504028,0,12.6386004917525,1468800,4080.61474609375,62.5806451612903,61.5,0,0,6.71111111111111,23.6111111111111,53.4516129032258,42.5,0,3787200,738900,0,3050100,3151800,0,5781600,160.884135682788
"54",20471,9.62961741857574,153.577043660793,320.907030032414,3555159.84863281,0,0.690479070493459,86400,4533.28369140625,60.4193548387097,60.375,0.85,0.44,14.2,29,53,55.125,0,0,18338400,0,0,0,0,0,538.731392973984
"55",20603,0.606394520990523,180.414608909663,1383.62455369371,4348071.37615967,0,2.92395654512985,3024000,4490.60693359375,71.2903225806452,70.875,0.86,0.86,5.35428571428571,19.8055555555556,32.0645161290323,36.375,531000,11304000,6104700,231300,0,0,1800,0,236.243699736561
"56",20705,14.3263227794343,191.694950413465,1885.0269302648,2351663510.23959,77155395.4540106,456.149639195828,1036800,7693.3193359375,69.9333333333333,73.25,0.42,0,4.40769230769231,16.2307692307692,34.5333333333333,33,19957500,10497600,464400,204300,0,5400,23400,0,291.289923844235
"57",20706,19.1039357481968,205.670737119002,2037.91090326703,6108885706.3614,1068329834.12943,599.837396250871,7084800,7560.07666015625,70.8064516129032,68.75,0,0,1.1109756097561,12.2530120481928,50.0322580645161,51.75,27571500,626400,97200,269100,0,1987200,64800,0,128.973180467448
"58",20551,26.3785641228144,225.732211547482,1165.93447373675,10653266910.2416,14826410.8295662,920.331278248672,5443200,9129.376953125,73.5483870967742,78.5,0,0,7.5859375,24.125,36.5806451612903,28.375,29752200,6349500,900,139500,0,701100,900,0,272.99264152047
"59",20336,21.9972756664587,188.293453317354,477.390911896617,7698504246.23639,25881.4128723145,535.749042963737,2073600,17359.328125,67.6129032258064,67.375,0.23,0,5.908,23.84,41.258064516129,23.625,622800,14175000,10996200,13500,5400,43578000,56700,800100,148.206855093143
"60",20416,10.511029444894,158.22525479225,1660.97111728918,4562066.15966797,0,10.3105560778362,1382400,18601.98046875,74.7241379310345,74.2857142857143,0.24,0,5.2375,26.9411764705882,32.1724137931034,26.1428571428571,0,1881000,0,0,0,0,0,0,156.734056420348
"61",20540,21.9440873808036,174.742822974139,1658.26510534953,3697435960.33814,3748030.59450769,1097.81812274067,1555200,4339.35498046875,72.8064516129032,74.25,0,0,1.05263157894737,14.2631578947368,45.1612903225806,45.375,15377400,1740600,0,130500,0,316800,0,0,302.737592021291
"62",20338,16.4516823133412,189.498308464558,490.073988622079,194853270.421631,645642.980078697,177.972130314282,1382400,2206.23022460938,67.5161290322581,64.625,0,0,5.45882352941176,20.0588235294118,36.5806451612903,25.25,0,1069200,696600,173700,422100,6120000,90000,369000,331.190965507597
"63",20627,12.36855953113,200.115705187543,436.526075409468,1826997061.08081,74240.9157376289,681.288196694908,2332800,6028.48974609375,77.741935483871,81,1.18,0,2.36071428571429,14.2857142857143,49.5161290322581,43.875,0,1842300,415800,11700,511200,21524400,45000,45000,370.335488028458
"64",20485,29.4393340538572,228.430574177498,1424.67745052424,2729165105.01443,5920441.96780634,791.634669095694,8640000,3372.92016601562,76.9032258064516,81,0.05,0.05,4.38690476190476,19.8588235294118,31.8709677419355,30.25,10745100,2658600,0,68400,0,180000,0,0,222.576913854075
"65",20561,28.0255908234783,187.673905904173,1591.88946776877,47442867878.6442,270425156.9178,640.636513343718,8121600,63785.0703125,77.2962962962963,76.625,0.68,0.01,4.15882352941177,16.6,41.1111111111111,41.5,198298800,51423300,963900,3473100,0,3684600,284400,0,-88.1136903984841
"66",20707,18.3449142355268,170.285085208444,508.580355165802,14898073288.9215,1262990.065413,730.915216887063,1468800,36522.9453125,60.3225806451613,54.375,0.09,0,0.844444444444444,10.9444444444444,55.5161290322581,48.75,27323100,15141600,18704700,720000,958500,79402500,208800,5347800,371.399533765168
"67",20453,19.6684896980556,134.451630907023,1959.72413248243,471557555.782547,505332.468004227,227.319241500271,1987200,8923.4951171875,75.0689655172414,76.2857142857143,0.94,0.28,5.5,26.375,34.0689655172414,32.2857142857143,10516500,24032700,807300,333900,15300,382500,12600,9000,246.883019085483
"68",20508,28.2000008682709,198.123029034831,589.425324242232,3698426649.3959,14391.0806732178,886.315698275035,7084800,4240.97412109375,75.0689655172414,74.125,0.01,0.01,4.63855421686747,16.6987951807229,44.3103448275862,48.375,15611400,367200,43200,43200,11700,1041300,41400,0,156.543412152902
"69",20602,2.17181260402401,208.05077557195,1492.79298818952,2137143430.9311,22444161.2666965,114.747778064019,1555200,45704.01171875,71.258064516129,70.5,0.86,0.86,5.14444444444444,19.8421052631579,31.8064516129032,35.75,63972000,114436800,6405300,27900,0,5400,91800,0,146.724852704483
"70",20470,22.5296693660484,167.792761483436,736.130189047632,3799429111.79761,9843819.12420654,246.263783546658,1382400,48886.6640625,76.3448275862069,81.25,0,0,2.08823529411765,15.1764705882353,40,32.375,5670000,43487100,43136100,3600,0,105549300,3600,0,349.591944928248
"71",20546,25.6870249326217,175.591586807817,675.553438312406,4893493140.51181,5061084.06591797,252.443545580388,14342400,18412.404296875,71.6451612903226,75.25,0,0,8.87757575757576,30.1077844311377,53.6129032258064,48.75,0,51075000,1229400,248400,127800,21788100,52200,0,485.175259695087
"72",20503,24.2600274274813,180.64119518126,1131.81249700934,28038575303.9943,73274437.7309041,854.570215075387,5788800,21317.931640625,78.2903225806452,79.375,0.09,0,1.9,15.1029411764706,50.741935483871,50.25,83612700,1098900,150300,9900,900,1384200,0,0,203.93825541632
"73",20337,16.5815588231865,176.427457000072,348.733211384805,12884202508.9597,63841.9077682495,515.943985460451,2073600,51624.65625,67.9354838709677,67.5,0.01,0,7.564,22.48,41.3870967741936,23.125,513000,58552200,29523600,2002500,3644100,106148700,1224000,7341300,287.383430650057
"74",20384,14.9971663764419,186.820620502872,326.411965745767,34995754.7275391,0,21.3525040572591,43200,2940.49560546875,80.9032258064516,84.125,0.02,0,3.9,17,39.8064516129032,36,0,0,11427300,0,0,475200,0,0,406.485758001013
"75",20122,9.15441051598651,182.806948239835,232.518926744791,3490632.56396484,0,1.99625253519475,172800,2284.59594726562,85.0322580645161,85.625,0,0,4.16666666666667,15.6666666666667,33.6129032258064,32.5,0,0,9219600,0,0,10800,0,900,393.679774817941
"76",20671,11.6540008056422,192.533492090009,2217.26527151315,5943200271.38662,761619751.013573,479.17351360094,10281600,8577.5517578125,71.6451612903226,72,0,0,1.14830508474576,12.2,47.7096774193548,47.25,32757300,999000,765900,31500,0,145800,0,0,7.8647678082754
"77",20462,13.3230935110239,197.515359581035,724.469686456668,80895923.7435837,0,24.606132508132,345600,6303.65869140625,75.4193548387097,86.625,4.01,0.04,8.26,30.8,47.8709677419355,30.25,0,19711800,4257000,11700,449100,628200,16200,426600,305.886237911057
"78",20663,9.38459479138647,201.35364746974,271.169094396865,4893231498.08496,1964813.78901672,504.89903063231,1555200,16140.798828125,70.7741935483871,66.625,0,0,1.95263157894737,14.6842105263158,38.8387096774194,29.625,0,1149300,11093400,0,3030300,49231800,63000,751500,107.022339650504
"79",20621,23.6495491912372,193.405712785565,2381.85335189477,657586300.084488,5209072.68592072,366.385624668109,2419200,2294.24682617188,64.5483870967742,64.875,0.32,0.02,2.80384615384615,18.3103448275862,44.4516129032258,42.5,1631700,6990300,503100,122400,0,30600,0,0,415.289761875172
"80",20331,17.4891994094845,178.32474276257,324.675054614681,24629719720.6785,2521923.1072464,638.86310066009,1987200,55798.19140625,67.9354838709677,67.5,0.01,0,7.37916666666667,22.25,41.3870967741936,23.125,45490500,40341600,30437100,568800,2618100,91555200,620100,14153400,203.975496221669
"81",20302,17.5883095790144,175.738181232397,634.918564285595,15139960375.1322,117900179.271577,557.598620986076,3974400,81826.2734375,86,86.875,0,0,6.62978723404255,20.3404255319149,32.6774193548387,25.875,919800,96004800,29191500,903600,2065500,198469800,3482100,75600,443.121020988334
"82",20626,17.6550707775282,208.949921267976,673.159420130938,3212075554.78464,34792864.3962348,1196.31880387,5184000,4015.732421875,77.4516129032258,80.375,0,0,8.67049180327869,24.9344262295082,40.8064516129032,29.625,10230300,959400,72000,1800,9900,4879800,15300,80100,455.841757416383
"83",20433,4.97488591369778,186.834997283219,1414.9335158202,1338519.65258789,0,0.398647518651796,1123200,6036.06494140625,74.9310344827586,73.8571428571429,0.24,0.04,5.1,27.6428571428571,32.0689655172414,29.4285714285714,0,24005700,91800,0,0,0,332100,0,116.090962729191
"84",20422,12.5208880821604,180.141842484891,1614.55491198504,229185680.077179,0,40.9249849121069,1382400,83581.4140625,74.3870967741936,78.5,0.72,0,5.91176470588235,23.2941176470588,34.1612903225806,26.5,102600,78243300,602100,0,0,0,0,0,188.700732459833
"85",20511,21.3323444291079,165.343149462449,2113.35841555559,5088764329.82574,221156417.169311,434.630818357716,12441600,15833.2119140625,57.4333333333333,68.125,0.22,0.09,3.23642857142857,18.848275862069,44.2,38.125,16814700,43450200,1285200,469800,0,2047500,1800,0,226.40903982883
"86",20625,7.68199722074,230.199421095832,264.679639581083,1031936192.30322,987.235855102539,288.872975767641,2419200,8415.802734375,71.5806451612903,67.375,0,0,5.90689655172414,17.448275862069,38.1935483870968,28.875,0,482400,25308900,498600,483300,7110000,92700,95400,93.7951701001693
"87",20335,16.0915962943674,180.107233287907,266.497305778818,15690120109.4633,4016806.33482361,585.659696558775,2073600,36701.984375,67.0967741935484,66.875,0.06,0,3.984,19.84,51.8387096774194,33.125,28457100,13690800,27682200,540000,6847200,69139800,363600,1782900,219.511732938898
"88",20476,17.8477064167475,170.139205759059,378.801700978419,186833161.797852,0,121.826561135925,432000,11146.7548828125,60.258064516129,57.25,0.53,0,2.28333333333333,18,60.1290322580645,58.375,0,3549600,37602900,13500,0,3948300,0,0,293.311110062525
"89",20512,26.2955145957456,207.234654539849,1349.28762172997,25567278668.9078,3711574480.97314,950.962276158572,86400,36619.42578125,79.8064516129032,83.25,0.04,0,2.9,17,38.5483870967742,31.875,40583700,26664300,3713400,714600,0,76514400,2700,0,296.061926884028
"90",20230,16.3317974432548,194.134756846352,615.344666235682,224710638.672852,0,64.2537616651546,345600,3872.15185546875,78.7333333333333,89.125,0.06,0.04,4.26,17.8,43.6333333333333,24.75,14400,9033300,4911300,0,200700,670500,50400,786600,367.881304275943
"91",20524,18.1291628344899,198.471993549431,1635.70188561236,10309948498.7649,1060337435.333,893.888934994744,6998400,12371.1484375,69.9032258064516,72.125,0,0,1.16666666666667,12.2439024390244,55.4838709677419,48.375,44987400,1344600,245700,84600,0,3344400,54900,0,335.704634799294
"92",20153,23.4317984391986,185.177712800347,425.57019041852,4638745751.25946,8824229.71412659,113.312979396833,1209600,28834.171875,74.5483870967742,77.75,0,0,9.30666666666667,22.2,38.6451612903226,31.5,0,45157500,28461600,68400,114300,42358500,42300,486900,436.146654945714
"93",20514,17.3307472940513,206.140109486165,2271.88061105994,8428024107.96408,298477486.674416,284.50745028638,3283200,18913.576171875,55.0967741935484,43.5,0.43,0.03,4.3,20.4,47.8064516129032,53.625,64534500,7303500,1287000,3392100,0,13500,3600,0,105.916367258484
"94",20509,22.341999415683,208.921691607124,915.709813316398,1807323828.6904,28178.4726028442,672.389242086271,1296000,3140.099609375,72.1612903225806,76,0.07,0.07,1.23125,13.1875,49.4838709677419,41.375,5796000,768600,2980800,185400,0,2954700,900,0,219.917525470217
"95",20549,24.9031003417986,179.645356411467,718.581701490152,33607875424.1221,35030068.398403,241.336051332138,3369600,281790.875,59.1935483870968,55.625,0.05,0,2.38461538461538,15.075,59.3870967741936,49.5,13390200,879136200,57819600,11214900,10448100,139039200,1949400,27414900,458.068499269404
"96",20322,19.0275777939543,148.404080238008,217.047270247018,349461457.286133,163423.462081909,191.605397018142,518400,2366.23486328125,71.4193548387097,73.875,0.11,0,10.0571428571429,24.1428571428571,51.1935483870968,42.875,0,0,4372200,0,0,5205600,2700,0,300.494949777254
"97",20379,20.0458008812141,194.723228722742,580.433826959735,382224277.743652,0,23.5176976782747,43200,15619.146484375,62.3,58.6666666666667,0.06,0,14.7,50,45.45,32.1666666666667,49500,53920800,928800,1407600,4683600,2191500,34200,0,299.311876136764
"98",20252,16.8233541760311,190.212789226395,273.206485109106,272700305.469238,0,19.4163734063976,691200,9198.0283203125,69.5161290322581,70.875,0.02,0,10.8666666666667,32.9777777777778,55.9677419354839,44.25,0,25254900,5006700,836100,3586500,2257200,245700,38700,63.2279989905052
"99",20251,24.9147131182783,183.45429539252,441.197200284269,67401581.9272461,0,32.2862229097478,518400,2661.41528320312,74.4193548387097,65.125,0.11,0.01,8.5,25.4,58.4193548387097,63.25,0,9372600,661500,15300,168300,520200,0,20700,477.244085994682
"100",20486,28.4929129478573,191.502082581455,924.176338081026,11761727246.1214,26380143.0937915,855.788033216371,6566400,18493.70703125,79.4193548387097,79,0.01,0,2.9,17.5454545454545,35.6129032258064,30.375,49509900,6521400,742500,974700,0,16844400,260100,0,182.160868860709
"101",20490,21.302239717352,169.973060284575,2085.69004427436,2861221177.05206,41740578.3299651,603.971155800171,7776000,4423.20849609375,68.7,66,0,0,3.42022471910112,15.1538461538462,46.7333333333333,52,10994400,6192000,297900,64800,0,351000,0,0,265.995198253523
"102",20600,13.0854361176424,164.878769977593,1559.70063178041,6886949038.45982,132038569.48467,574.601249165476,3715200,30890.861328125,73,72,0.24,0.24,5.12954545454545,23.6136363636364,28,28.125,87581700,33540300,3582900,0,0,69300,0,257400,355.263251118417
"103",20380,15.3425982339975,191.908933196036,359.258443323057,133432157.416306,0,33.2220574793874,691200,6047.71875,62.6451612903226,59.5,0,0,9.8,32.5555555555556,42.7096774193548,30,0,14272200,4075200,2718900,2028600,1353600,18900,0,243.000307219824
